name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,4433,40493259,,,,,,,-122.7222222,45.5781535,,,
,4434,40493261,,,,,,,-122.721966,45.5784974,,,
,4435,40493263,,,,,,,-122.7214331,45.5792125,,,
,4436,1482803291,,,,,,,-122.7212819,45.5794154,,,
,4437,40493265,,,,,,,-122.7211674,45.5795691,,,
,4438,40493266,,,,,,,-122.7209031,45.5799238,,,
,4439,40493268,,,,,,,-122.7206362,45.5802819,,,
,4440,40493270,,,,,,,-122.7203698,45.5806395,,,
,4441,40493272,,,,,,,-122.7200864,45.5810198,,,
,4442,40493286,,,,,,,-122.7198818,45.5809448,,,
,4443,8226249068,,,,,,,-122.7196419,45.5812776,,,
,4444,40493288,,,,,,,-122.7196106,45.581322,,,
,4445,40493290,,,,,,,-122.7193418,45.581682,,,
,4446,40493291,,,,,,,-122.7190778,45.582038,,,
,4447,40493296,,,,,,,-122.7188095,45.582394,,,
,4448,40493300,,,,,,,-122.7185478,45.5827444,,,
,4449,40493081,,,,,,,-122.7184603,45.5828563,,,
,4450,40378370,,,,,,,-122.7184073,45.5840742,,,
,4451,1748251771,,,,,,,-122.7183975,45.5846228,,,
,4452,40493309,,,,,,,-122.7183593,45.5866044,,,
,4453,568063929,,,,,,,-122.7183694,45.5871852,,,
,4454,40493311,,,,,,,-122.7183783,45.5879806,,,
,4455,2151209676,,,,,,,-122.7183987,45.5883209,,,
,4456,40493316,,,,,,,-122.7184126,45.5886746,,,
,4457,40492017,traffic_signals,,signal,,,,-122.6865491,45.5228826,,,
,4458,2002108281,,,,,,,-122.6863356,45.5358418,,,
,4459,2002108290,,,,,,,-122.6861791,45.5359224,,,
,4460,40642569,traffic_signals,,signal,,,,-122.6857272,45.5363271,,,
,4461,40493508,,,,,,,-122.6860833,45.5243157,,,
,4462,40493514,,,,,,,-122.6861876,45.5243513,,,
,4463,1483912545,,,,,,,-122.70538,45.588726,,,
,4464,40493974,,,,,,,-122.706459,45.5889777,,,
,4465,40493978,,,,,,,-122.7078654,45.5893389,,,
,4466,40494634,,,,,,,-122.7509679,45.5932694,,,
,4467,40494640,,,,,,,-122.7507103,45.5932917,,,
,4468,40494652,,,,,,,-122.7544235,45.5873428,,,
,4469,40437867,,,,,,,-122.7542021,45.5876623,,,
,4470,40494662,,,,,,,-122.7549232,45.5865523,,,
